	Accompany	Approach	Argue with	Avoid	Block	Bother	Capture	Chase	Creep up on	Encircle	Escape	Examine	Fight	Flirt with	Follow	Herd	Hit	Huddle with	Hug	Ignore	Kiss	Lead	Leave	Mimic	Play with	Poke	Pull	Push	Scratch	Talk to	Throw	Tickle
1002_mimic	0.024390243902439025	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.024390243902439025	0.0	0.04878048780487805	0.0	0.0	0.0	0.0	0.0	0.0	0.04878048780487805	0.0	0.7073170731707317	0.07317073170731707	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0
1003_scratch	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.06666666666666667	0.0	0.0	0.0	0.044444444444444446	0.06666666666666667	0.022222222222222223	0.08888888888888889	0.022222222222222223	0.0	0.0	0.022222222222222223	0.13333333333333333	0.0	0.0	0.28888888888888886	0.0	0.0	0.17777777777777778
1007_chase	0.022727272727272728	0.0	0.0	0.045454545454545456	0.0	0.022727272727272728	0.0	0.20454545454545456	0.022727272727272728	0.0	0.022727272727272728	0.0	0.0	0.045454545454545456	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1012_push	0.0	0.0	0.0	0.0	0.0	0.0425531914893617	0.1276595744680851	0.10638297872340426	0.0851063829787234	0.0	0.0	0.0	0.0	0.0851063829787234	0.0	0.0425531914893617	0.0	0.02127659574468085	0.0	0.02127659574468085	0.0425531914893617	0.0	0.0	0.02127659574468085	0.0	0.23404255319148937	0.02127659574468085	0.0851063829787234	0.0	0.0	0.0	0.06382978723404255
1015_huddle with	0.044444444444444446	0.022222222222222223	0.0	0.0	0.022222222222222223	0.022222222222222223	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.022222222222222223	0.08888888888888889	0.26666666666666666	0.0	0.2	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.022222222222222223
1016_ignore	0.0	0.0	0.04878048780487805	0.0975609756097561	0.0	0.43902439024390244	0.0	0.04878048780487805	0.07317073170731707	0.0	0.0	0.0	0.024390243902439025	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.07317073170731707	0.024390243902439025	0.024390243902439025	0.0	0.0	0.024390243902439025	0.0975609756097561	0.0	0.0	0.0	0.0	0.0	0.0
1018_block	0.07317073170731707	0.0	0.0	0.024390243902439025	0.34146341463414637	0.024390243902439025	0.04878048780487805	0.04878048780487805	0.04878048780487805	0.0	0.0	0.0	0.0	0.07317073170731707	0.024390243902439025	0.04878048780487805	0.0	0.0	0.024390243902439025	0.0	0.024390243902439025	0.07317073170731707	0.0	0.024390243902439025	0.04878048780487805	0.04878048780487805	0.0	0.0	0.0	0.0	0.0	0.0
1025_herd	0.020833333333333332	0.020833333333333332	0.0	0.10416666666666667	0.0	0.16666666666666666	0.0	0.020833333333333332	0.020833333333333332	0.0	0.020833333333333332	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0	0.020833333333333332	0.041666666666666664	0.020833333333333332	0.0	0.0	0.0	0.0	0.1875	0.020833333333333332	0.16666666666666666	0.0	0.020833333333333332	0.0	0.020833333333333332
1027_avoid	0.020833333333333332	0.0	0.020833333333333332	0.3333333333333333	0.0	0.08333333333333333	0.0	0.10416666666666667	0.0625	0.0	0.041666666666666664	0.0	0.0	0.020833333333333332	0.16666666666666666	0.0	0.0	0.0	0.0	0.0625	0.0	0.020833333333333332	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0
1032_creep up on	0.023255813953488372	0.06976744186046512	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.4883720930232558	0.09302325581395349	0.0	0.09302325581395349	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.046511627906976744	0.0	0.0	0.06976744186046512	0.0	0.023255813953488372	0.0	0.0	0.046511627906976744	0.0	0.0	0.0	0.0
1039_scratch	0.024390243902439025	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	0.024390243902439025	0.0	0.0	0.024390243902439025	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.04878048780487805	0.0	0.1951219512195122	0.024390243902439025	0.0	0.0	0.0	0.07317073170731707	0.0	0.0	0.24390243902439024	0.0	0.0	0.2926829268292683
1044_encircle	0.0	0.0	0.0	0.0	0.0	0.125	0.08333333333333333	0.0	0.0	0.7291666666666666	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1051_herd	0.06976744186046512	0.023255813953488372	0.0	0.0	0.0	0.11627906976744186	0.023255813953488372	0.046511627906976744	0.09302325581395349	0.0	0.0	0.0	0.0	0.046511627906976744	0.2558139534883721	0.023255813953488372	0.0	0.0	0.0	0.023255813953488372	0.0	0.023255813953488372	0.0	0.0	0.0	0.11627906976744186	0.0	0.11627906976744186	0.0	0.0	0.0	0.023255813953488372
1052_avoid	0.04878048780487805	0.0	0.0	0.0975609756097561	0.024390243902439025	0.0975609756097561	0.0	0.2682926829268293	0.07317073170731707	0.0	0.024390243902439025	0.0	0.0	0.0	0.21951219512195122	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	0.024390243902439025	0.024390243902439025	0.0	0.024390243902439025	0.04878048780487805	0.0	0.0	0.0	0.0	0.0
1057_escape	0.024390243902439025	0.0	0.0	0.04878048780487805	0.0	0.0	0.0	0.36585365853658536	0.04878048780487805	0.0	0.0	0.024390243902439025	0.0	0.0	0.3902439024390244	0.0	0.0	0.0	0.0	0.0	0.0	0.04878048780487805	0.04878048780487805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1058_ignore	0.0	0.0	0.13333333333333333	0.022222222222222223	0.0	0.4	0.0	0.044444444444444446	0.0	0.0	0.022222222222222223	0.0	0.1111111111111111	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.022222222222222223	0.022222222222222223	0.022222222222222223	0.0	0.0	0.044444444444444446	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.06666666666666667
1059_encircle	0.0	0.0	0.0	0.0	0.0	0.17073170731707318	0.04878048780487805	0.024390243902439025	0.0	0.6341463414634146	0.0	0.0	0.0	0.024390243902439025	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04878048780487805	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025
1061_tickle	0.0	0.0	0.16279069767441862	0.0	0.0	0.046511627906976744	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.20930232558139536	0.023255813953488372	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.09302325581395349	0.0	0.0	0.023255813953488372	0.046511627906976744	0.13953488372093023	0.0	0.0	0.023255813953488372	0.0	0.0	0.18604651162790697
1064_hit	0.0	0.0	0.02702702702702703	0.02702702702702703	0.0	0.10810810810810811	0.0	0.0	0.05405405405405406	0.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.08108108108108109	0.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.10810810810810811	0.0	0.5405405405405406	0.0	0.0	0.0	0.0
1066_pull	0.13513513513513514	0.0	0.0	0.0	0.02702702702702703	0.05405405405405406	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.05405405405405406	0.13513513513513514	0.02702702702702703	0.0	0.0	0.0	0.02702702702702703	0.08108108108108109	0.05405405405405406	0.0	0.02702702702702703	0.0	0.05405405405405406	0.08108108108108109	0.21621621621621623	0.0	0.0	0.0	0.0
1068_tickle	0.0	0.0	0.06666666666666667	0.0	0.0	0.15555555555555556	0.0	0.0	0.022222222222222223	0.0	0.022222222222222223	0.0	0.15555555555555556	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.13333333333333333	0.0	0.044444444444444446	0.022222222222222223	0.0	0.0	0.26666666666666666
1069_lead	0.022727272727272728	0.0	0.0	0.09090909090909091	0.0	0.0	0.022727272727272728	0.11363636363636363	0.022727272727272728	0.0	0.022727272727272728	0.0	0.0	0.0	0.38636363636363635	0.06818181818181818	0.0	0.022727272727272728	0.0	0.0	0.0	0.20454545454545456	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1074_huddle with	0.022222222222222223	0.0	0.022222222222222223	0.0	0.022222222222222223	0.022222222222222223	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.24444444444444444	0.0	0.0	0.0	0.1111111111111111	0.17777777777777778	0.0	0.24444444444444444	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.022222222222222223	0.0	0.044444444444444446
1076_poke	0.0	0.023809523809523808	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.023809523809523808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11904761904761904	0.0	0.0	0.0	0.023809523809523808	0.5476190476190477	0.0	0.0	0.047619047619047616	0.0	0.0	0.07142857142857142
1077_accompany	0.1875	0.0	0.0625	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.0	0.0625	0.041666666666666664	0.0	0.020833333333333332	0.0	0.0	0.0625	0.1875	0.041666666666666664	0.0	0.020833333333333332	0.0	0.041666666666666664	0.0	0.041666666666666664	0.0	0.020833333333333332	0.0625	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0
1078_encircle	0.0	0.0	0.0	0.0	0.0	0.10256410256410256	0.02564102564102564	0.0	0.02564102564102564	0.6923076923076923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.1282051282051282	0.0	0.0	0.0	0.0	0.0	0.0	0.0
