num,date,startTime,id,userAgent,endTime,duration,quizAttemptN,instrReadingTimes,quickReadingPageN,hiddenCount,hiddenDurations,comments,serious,maximized,problems,gender,age,inView,viewportW,viewportH
1005,2025-09-30,22:49:53,71973,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",23:14:10,24.270883333333337,1,"{""0"":4.998,""1"":16.654,""2"":17.572,""3"":21.887,""4"":47.445,""5"":51.623,""6"":54.354,""7"":58.004,""8"":59.523,""9"":60.524,""10"":128.555,""11"":131.465,""12"":133.906,""13"":162.659,""14"":173.672,""15"":173.672}",0,0,,Nothing at this moment. Take care,1,1,The procedure was very straightforward,M,16,True,1470,919
1006,2025-09-30,22:54:04,70942,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",23:27:39,33.585816666666666,1,"{""0"":2.131,""1"":3.647,""2"":5.097,""3"":24.914,""4"":26.747,""5"":370.063,""6"":373.645,""7"":377.745,""8"":379.694,""9"":381.461,""10"":401.03,""11"":405.145,""12"":410.045,""13"":412.912,""14"":422.662,""15"":422.662}",0,0,,,1,1,i did not have any problems with completing the tasks.,F,20,True,1440,900
1010,2025-09-30,23:22:35,66655,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",23:44:33,21.96345,1,"{""0"":2.577,""1"":4.598,""2"":7.353,""3"":11.141,""4"":16.02,""5"":21.163,""6"":23.879,""7"":26,""8"":27.632,""9"":28.826,""10"":73.117,""11"":76.793,""12"":80.679,""13"":82.792,""14"":90.87,""15"":90.87}",0,0,,No,1,1,No,F,20,True,1366,768
1008,2025-09-30,23:02:23,71066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",23:46:42,44.31065,1,"{""0"":25.214,""1"":27.752,""2"":42.453,""3"":51.44,""4"":54.667,""5"":60.906,""6"":63.883,""7"":69.413,""8"":70.519,""9"":71.336,""10"":78.415,""11"":80.828,""12"":84.116,""13"":88.72,""14"":102.769,""15"":102.769}",0,1,937.127,no,1,1,no,M,19,True,1707,1067
1013,2025-09-30,23:33:41,62755,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",23:49:37,15.925066666666666,1,"{""0"":21.615,""1"":81.845,""2"":85.278,""3"":89.247,""4"":95.93,""5"":100.929,""6"":103.181,""7"":106.18,""8"":107.579,""9"":108.528,""10"":115.966,""11"":118.98,""12"":121.595,""13"":123.446,""14"":129.547,""15"":129.547}",0,0,,,1,1,,F,21,True,1440,900
1009,2025-09-30,23:21:21,72126,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/140 Version/11.1.1 Safari/605.1.15",23:52:42,31.344116666666668,1,"{""0"":1.546,""1"":4.14,""2"":5.921,""3"":8.072,""4"":24.503,""5"":34.203,""6"":41.735,""7"":48.135,""8"":51.503,""9"":53.203,""10"":84.936,""11"":91.533,""12"":96.613,""13"":100.714,""14"":115.647,""15"":115.647}",0,0,,,1,1,,F,28,True,1180,771
1012,2025-09-30,23:31:40,70545,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",23:54:13,22.54105,1,"{""0"":3.994,""1"":69.992,""2"":76.075,""3"":85.521,""4"":92.454,""5"":104.928,""6"":107.957,""7"":112.367,""8"":114.392,""9"":115.351,""10"":155.741,""11"":161.722,""12"":165.955,""13"":168.99,""14"":178.357,""15"":178.357}",0,0,,No. Thank you.,1,1,No. The instructions procedure were clear. ,M,23,True,1440,900
1011,2025-09-30,23:27:10,64173,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",23:57:46,30.601733333333332,1,"{""0"":1.868,""1"":3.684,""2"":5.701,""3"":8.534,""4"":11.834,""5"":16.234,""6"":18.418,""7"":23.051,""8"":24.401,""9"":25.184,""10"":33.535,""11"":36.568,""12"":39.117,""13"":40.299,""14"":46.35,""15"":46.35}",0,0,,no,0,1,No,F,21,True,1680,1050
1,2025-09-30,08:40:04,72109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",08:55:56,15.861916666666668,1,"{""0"":13.327,""1"":16.108,""2"":18.275,""3"":22.611,""4"":27.649,""5"":34.271,""6"":36.823,""7"":40.493,""8"":42.002,""9"":43.01,""10"":67.15,""11"":70.196,""12"":76.837,""13"":78.964,""14"":89.04,""15"":89.04}",0,0,,No,1,1,No it was perfectly clear,M,20,True,1280,720
2,2025-09-30,15:45:30,63985,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",16:05:59,20.4811,1,"{""0"":12.982,""1"":16.282,""2"":19.398,""3"":24.151,""4"":29.814,""5"":33.747,""6"":39.381,""7"":43.298,""8"":44.681,""9"":45.765,""10"":55.667,""11"":60.731,""12"":66.264,""13"":68.398,""14"":79.566,""15"":79.566}",0,0,,,1,1,,F,21,True,1470,920
