subjNum,subjStartDate,subjStartTime,trialIndex,exptId,label,labelIndex,rt,vidPlayCounts
1005,2025-09-30,22:49:53,0,5817_creep up on,Creep up on,9,9.628,1
1005,2025-09-30,22:49:53,1,5837_kiss,Flirt with,0,11.922,1
1005,2025-09-30,22:49:53,2,5840_avoid,Follow,5,69.31,3
1005,2025-09-30,22:49:53,3,5844_escape,Follow,5,26.87,1
1005,2025-09-30,22:49:53,4,5873_approach,Poke,16,6.797,1
1005,2025-09-30,22:49:53,5,5900_ignore,Leave,29,9.135,1
1005,2025-09-30,22:49:53,6,5906_fight,Fight,26,11.497,1
1005,2025-09-30,22:49:53,7,6012_kiss,Flirt with,0,9.036,1
1005,2025-09-30,22:49:53,8,6037_hit,Poke,16,9.389,1
1005,2025-09-30,22:49:53,9,6040_hug,Bother,28,24.433,2
1005,2025-09-30,22:49:53,10,6058_leave,Escape,7,14.359,2
1005,2025-09-30,22:49:53,11,2019_kiss,Talk to,21,17.22,1
1005,2025-09-30,22:49:53,12,2033_approach,Follow,5,10.753,1
1005,2025-09-30,22:49:53,13,6170_pull,Follow,5,33.51,1
1005,2025-09-30,22:49:53,14,6176_scratch,Flirt with,0,47.916,1
1005,2025-09-30,22:49:53,15,6222_leave,Escape,7,8.051,11
1005,2025-09-30,22:49:53,16,6223_escape,Escape,7,4.234,5
1005,2025-09-30,22:49:53,17,6271_creep up on,Bother,28,12.085,1
1005,2025-09-30,22:49:53,18,6275_talk to,Ignore,11,10.481,2
1005,2025-09-30,22:49:53,19,5504_huddle with,Ignore,11,12.317,1
1005,2025-09-30,22:49:53,20,4379_chase,Chase,25,33.866,2
1005,2025-09-30,22:49:53,21,4458_kiss,Flirt with,0,27.719,1
1005,2025-09-30,22:49:53,22,5287_follow,Mimic,2,25.965,1
1005,2025-09-30,22:49:53,23,6767_talk to,Bother,28,25.016,1
1005,2025-09-30,22:49:53,24,4803_bother,Escape,7,38.305,2
1005,2025-09-30,22:49:53,25,4822_flirt with,Examine,1,54.696,2
1005,2025-09-30,22:49:53,26,4837_accompany,Bother,28,6.985,1
1005,2025-09-30,22:49:53,27,4847_hit,Hit,17,11.531,2
1005,2025-09-30,22:49:53,28,4907_push,Chase,25,30.934,4
1005,2025-09-30,22:49:53,29,4919_leave,Leave,29,6.419,1
1005,2025-09-30,22:49:53,30,4938_herd,Bother,28,9.13,1
