num	date	startTime	id	userAgent	endTime	duration	quizAttemptN	instrReadingTimes	quickReadingPageN	hiddenCount	hiddenDurations	comments	serious	maximized	problems	gender	age	inView	viewportW	viewportH
4	2024-11-13	01:13:28	64204	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36	01:27:46	14.302683333333333	1	{"0":3.036,"1":8.144,"2":10.544,"3":14.846,"4":19.016,"5":26.962,"6":31.181,"7":34.098,"8":36.68,"9":39.415,"10":40.344,"11":58.171,"12":61.199,"13":65.89,"14":67.749,"15":73.931,"16":73.931}	0	0		N/A	1	1	N/A	F	20	true	1512	945
3	2024-11-13	01:13:21	67881	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36	01:30:30	17.153566666666666	1	{"0":1.815,"1":3.748,"2":6.281,"3":9.931,"4":12.892,"5":18.647,"6":34.948,"7":37.631,"8":40.582,"9":41.698,"10":42.448,"11":72.467,"12":75.348,"13":78.315,"14":79.382,"15":89.265,"16":89.265}	0	0		I hope your study goes well!! :)	1	1	The procedure was clear, however, it got very tiring, and was easy to forget what the motion of the 1st triangle box you picked was. 	F	18	true	1470	919
5	2024-11-13	01:16:40	68893	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36	01:36:51	20.173883333333333	1	{"0":1.736,"1":4.114,"2":8.143,"3":12.946,"4":16.91,"5":20.05,"6":33.957,"7":37.677,"8":42.099,"9":44.366,"10":45.467,"11":95.512,"12":98.263,"13":103.906,"14":106.039,"15":111.651,"16":111.651}	0	0		nope	1	1	nope	F	18	true	1280	800
6	2024-11-13	01:26:03	68202	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36	01:41:02	14.988933333333334	1	{"0":1.942,"1":3.394,"2":5.12,"3":8.765,"4":12.393,"5":17.445,"6":21.187,"7":24.432,"8":27.684,"9":30.107,"10":32.296,"11":64.11,"12":66.763,"13":69.216,"14":70.76,"15":79.119,"16":79.119}	0	0		N/A	1	1	Nope	F	18	true	1366	768
7	2024-11-13	01:27:37	67941	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15	01:56:05	28.473416666666665	2	{"0":408.307,"1":413.174,"2":415.808,"3":423.191,"4":426.006,"5":430.69,"6":435.643,"7":438.006,"8":438.923,"9":439.706,"10":439.906,"11":461.158,"12":466.372,"13":471.372,"14":472.422,"15":480.488,"16":480.488,"-1":397.192}	0	0		N/A	1	1	N/A	M	20	true	1440	900
9	2024-11-13	01:37:29	56686	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36	02:03:05	25.602916666666665	1	{"0":29.296,"1":35.245,"2":37.578,"3":42.494,"4":46.011,"5":66.979,"6":102.578,"7":105.678,"8":107.976,"9":122.743,"10":124.96,"11":144.279,"12":146.96,"13":150.578,"14":152.36,"15":161.177,"16":161.177}	0	2	0.285,1.768	nope :)	1	1	Nope. Everything was clear!	F	21	true	1440	900
10	2024-11-13	01:50:14	67769	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36	02:07:02	16.795816666666667	1	{"0":2.136,"1":5.497,"2":8.038,"3":21.826,"4":24.406,"5":30.284,"6":34.422,"7":37.383,"8":38.208,"9":39.656,"10":40.352,"11":79.619,"12":83.846,"13":86.321,"14":87.973,"15":94.43,"16":94.43}	0	0		No	0	1	No	F	13	true	1512	945
11	2024-11-13	01:52:09	68819	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36	02:07:45	15.6035	1	{"0":1.546,"1":2.592,"2":4.058,"3":7.868,"4":9.927,"5":14.625,"6":20.561,"7":25.274,"8":28.387,"9":31.569,"10":34.003,"11":58.432,"12":62.237,"13":65.325,"14":67.757,"15":75.8,"16":75.8}	0	0		nope	1	1	Sometime it was hard to choose which ones were the most different	F	20	true	1280	720
12	2024-11-13	01:47:16	65965	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36	02:08:17	21.02395	1	{"0":423.077,"1":426.027,"2":427.578,"3":431.128,"4":436.961,"5":442.611,"6":445.895,"7":452.245,"8":454.728,"9":457.995,"10":459.595,"11":488.93,"12":492.478,"13":495.928,"14":498.728,"15":508.595,"16":508.595}	0	0		No	1	1	No	F	22	true	1470	919
13	2024-11-13	02:00:39	65906	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15	02:20:23	19.736933333333333	1	{"0":19.6,"1":20.853,"2":23.836,"3":27.24,"4":34.934,"5":40.39,"6":45.777,"7":48.402,"8":49.437,"9":50.706,"10":51.619,"11":78.489,"12":81.929,"13":83.732,"14":86.166,"15":92.618,"16":92.618}	0	1	5.806	N/A	1	1	N/A	M	21	true	1440	900
