subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt
1;2025-11-19;09:13:50;0;15;right;{"vid1":1,"vid2":1,"vid3":1};19.521
1;2025-11-19;09:13:50;1;43;left;{"vid1":4,"vid2":2,"vid3":2};41.227
1;2025-11-19;09:13:50;2;20;right;{"vid1":3,"vid2":3,"vid3":6};61.208
1;2025-11-19;09:13:50;3;18;right;{"vid1":4,"vid2":4,"vid3":4};77.304
1;2025-11-19;09:13:50;4;4;middle;{"vid1":5,"vid2":5,"vid3":5};94.014
1;2025-11-19;09:13:50;5;37;middle;{"vid1":6,"vid2":12,"vid3":6};193.29
1;2025-11-19;09:13:50;6;25;right;{"vid1":7,"vid2":7,"vid3":7};207.18
1;2025-11-19;09:13:50;7;41;middle;{"vid1":8,"vid2":8,"vid3":8};229.755
1;2025-11-19;09:13:50;8;13;right;{"vid1":9,"vid2":9,"vid3":9};253.936
1;2025-11-19;09:13:50;9;36;right;{"vid1":10,"vid2":10,"vid3":20};273.124
1;2025-11-19;09:13:50;10;10;middle;{"vid1":11,"vid2":11,"vid3":11};291.812
1;2025-11-19;09:13:50;11;44;right;{"vid1":12,"vid2":12,"vid3":24};322.927
1;2025-11-19;09:13:50;12;19;right;{"vid1":13,"vid2":13,"vid3":13};355.749
1;2025-11-19;09:13:50;13;38;right;{"vid1":14,"vid2":14,"vid3":14};379.403
1;2025-11-19;09:13:50;14;8;right;{"vid1":15,"vid2":15,"vid3":15};394.058
1;2025-11-19;09:13:50;15;14;left;{"vid1":16,"vid2":16,"vid3":16};433.93
1;2025-11-19;09:13:50;16;0;left;{"vid1":34,"vid2":17,"vid3":17};458.173
1;2025-11-19;09:13:50;17;21;right;{"vid1":18,"vid2":18,"vid3":18};474.18
1;2025-11-19;09:13:50;18;42;left;{"vid1":19,"vid2":19,"vid3":19};506.942
1;2025-11-19;09:13:50;19;33;right;{"vid1":20,"vid2":20,"vid3":20};533.76
1;2025-11-19;09:13:50;20;24;left;{"vid1":21,"vid2":21,"vid3":21};557.207
1;2025-11-19;09:13:50;21;35;right;{"vid1":22,"vid2":22,"vid3":22};591.571
