subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt
1;2024-11-13;00:56:12;0;21;right;{"vid1":1,"vid2":1,"vid3":1};14.434
1;2024-11-13;00:56:12;1;31;middle;{"vid1":2,"vid2":2,"vid3":2};26.037
1;2024-11-13;00:56:12;2;6;right;{"vid1":3,"vid2":3,"vid3":3};42.62
1;2024-11-13;00:56:12;3;43;left;{"vid1":4,"vid2":4,"vid3":4};59.321
1;2024-11-13;00:56:12;4;0;left;{"vid1":10,"vid2":5,"vid3":5};95.714
1;2024-11-13;00:56:12;5;40;middle;{"vid1":6,"vid2":6,"vid3":6};110.027
1;2024-11-13;00:56:12;6;37;middle;{"vid1":7,"vid2":7,"vid3":7};127.031
4;2024-11-13;01:13:28;0;24;right;{"vid1":1,"vid2":1,"vid3":1};13.136
3;2024-11-13;01:13:21;0;20;left;{"vid1":1,"vid2":1,"vid3":1};18.604
3;2024-11-13;01:13:21;1;22;right;{"vid1":2,"vid2":2,"vid3":2};30.488
4;2024-11-13;01:13:28;1;28;left;{"vid1":4,"vid2":2,"vid3":2};34.081
3;2024-11-13;01:13:21;2;2;right;{"vid1":3,"vid2":3,"vid3":3};50.271
4;2024-11-13;01:13:28;2;8;left;{"vid1":6,"vid2":3,"vid3":3};56.356
3;2024-11-13;01:13:21;3;24;right;{"vid1":4,"vid2":4,"vid3":4};68.572
4;2024-11-13;01:13:28;3;33;right;{"vid1":4,"vid2":4,"vid3":4};73.746
4;2024-11-13;01:13:28;4;34;left;{"vid1":10,"vid2":5,"vid3":5};99.359
3;2024-11-13;01:13:21;4;38;right;{"vid1":10,"vid2":10,"vid3":10};100.388
4;2024-11-13;01:13:28;5;19;right;{"vid1":12,"vid2":6,"vid3":6};121.745
3;2024-11-13;01:13:21;5;3;right;{"vid1":6,"vid2":12,"vid3":6};119.888
3;2024-11-13;01:13:21;6;7;right;{"vid1":7,"vid2":7,"vid3":7};137.289
4;2024-11-13;01:13:28;6;29;left;{"vid1":14,"vid2":7,"vid3":7};147.489
3;2024-11-13;01:13:21;7;33;middle;{"vid1":8,"vid2":8,"vid3":8};153.605
4;2024-11-13;01:13:28;7;16;middle;{"vid1":8,"vid2":8,"vid3":8};161.252
3;2024-11-13;01:13:21;8;21;right;{"vid1":9,"vid2":9,"vid3":9};172.322
4;2024-11-13;01:13:28;8;26;left;{"vid1":9,"vid2":9,"vid3":9};179.324
3;2024-11-13;01:13:21;9;44;right;{"vid1":10,"vid2":10,"vid3":10};184.872
4;2024-11-13;01:13:28;9;15;middle;{"vid1":10,"vid2":10,"vid3":10};193.86
3;2024-11-13;01:13:21;10;26;left;{"vid1":11,"vid2":22,"vid3":11};201.422
4;2024-11-13;01:13:28;10;17;left;{"vid1":11,"vid2":11,"vid3":11};209.218
3;2024-11-13;01:13:21;11;12;right;{"vid1":12,"vid2":12,"vid3":12};220.839
4;2024-11-13;01:13:28;11;14;right;{"vid1":12,"vid2":12,"vid3":12};224.067
4;2024-11-13;01:13:28;12;6;left;{"vid1":13,"vid2":13,"vid3":13};237.591
5;2024-11-13;01:16:40;0;13;middle;{"vid1":1,"vid2":1,"vid3":1};16.723
3;2024-11-13;01:13:21;12;0;middle;{"vid1":26,"vid2":13,"vid3":13};239.406
4;2024-11-13;01:13:28;13;41;right;{"vid1":28,"vid2":14,"vid3":14};256.781
5;2024-11-13;01:16:40;1;1;middle;{"vid1":2,"vid2":2,"vid3":2};35.549
3;2024-11-13;01:13:21;13;32;left;{"vid1":14,"vid2":14,"vid3":14};256.172
4;2024-11-13;01:13:28;14;27;left;{"vid1":15,"vid2":15,"vid3":15};273.482
5;2024-11-13;01:16:40;2;10;right;{"vid1":3,"vid2":3,"vid3":3};52.14
4;2024-11-13;01:13:28;15;23;middle;{"vid1":16,"vid2":16,"vid3":16};287.021
3;2024-11-13;01:13:21;14;13;right;{"vid1":30,"vid2":30,"vid3":15};285.523
5;2024-11-13;01:16:40;3;42;middle;{"vid1":4,"vid2":4,"vid3":4};67.838
4;2024-11-13;01:13:28;16;22;middle;{"vid1":17,"vid2":17,"vid3":17};301.631
5;2024-11-13;01:16:40;4;32;middle;{"vid1":5,"vid2":5,"vid3":5};87.688
3;2024-11-13;01:13:21;15;36;left;{"vid1":32,"vid2":16,"vid3":16};310.69
4;2024-11-13;01:13:28;17;2;left;{"vid1":18,"vid2":18,"vid3":18};321.231
3;2024-11-13;01:13:21;16;39;right;{"vid1":34,"vid2":17,"vid3":17};331.54
5;2024-11-13;01:16:40;5;0;left;{"vid1":12,"vid2":12,"vid3":12};114.066
4;2024-11-13;01:13:28;18;30;middle;{"vid1":19,"vid2":19,"vid3":19};337.147
4;2024-11-13;01:13:28;19;42;left;{"vid1":20,"vid2":20,"vid3":20};356.24
5;2024-11-13;01:16:40;6;34;middle;{"vid1":14,"vid2":7,"vid3":7};136.731
3;2024-11-13;01:13:21;17;42;right;{"vid1":36,"vid2":36,"vid3":18};357.707
4;2024-11-13;01:13:28;20;37;right;{"vid1":21,"vid2":21,"vid3":21};369.211
3;2024-11-13;01:13:21;18;11;middle;{"vid1":38,"vid2":19,"vid3":19};374.791
5;2024-11-13;01:16:40;7;41;middle;{"vid1":16,"vid2":8,"vid3":8};158.168
4;2024-11-13;01:13:28;21;38;right;{"vid1":22,"vid2":22,"vid3":22};386.45
5;2024-11-13;01:16:40;8;22;right;{"vid1":9,"vid2":9,"vid3":9};174.932
3;2024-11-13;01:13:21;19;16;middle;{"vid1":20,"vid2":40,"vid3":20};394.657
4;2024-11-13;01:13:28;22;3;middle;{"vid1":23,"vid2":23,"vid3":23};401.596
4;2024-11-13;01:13:28;23;0;right;{"vid1":24,"vid2":24,"vid3":24};416.594
3;2024-11-13;01:13:21;20;40;left;{"vid1":21,"vid2":42,"vid3":21};419.624
5;2024-11-13;01:16:40;9;25;middle;{"vid1":20,"vid2":20,"vid3":20};204.249
4;2024-11-13;01:13:28;24;43;middle;{"vid1":25,"vid2":25,"vid3":25};434.675
3;2024-11-13;01:13:21;21;34;right;{"vid1":22,"vid2":22,"vid3":22};434.257
5;2024-11-13;01:16:40;10;40;right;{"vid1":11,"vid2":11,"vid3":11};221.981
4;2024-11-13;01:13:28;25;32;right;{"vid1":26,"vid2":26,"vid3":26};451.047
3;2024-11-13;01:13:21;22;30;right;{"vid1":23,"vid2":23,"vid3":23};449.507
4;2024-11-13;01:13:28;26;36;right;{"vid1":27,"vid2":27,"vid3":27};464.405
3;2024-11-13;01:13:21;23;23;left;{"vid1":24,"vid2":24,"vid3":24};462.308
5;2024-11-13;01:16:40;11;12;left;{"vid1":24,"vid2":24,"vid3":12};244.088
4;2024-11-13;01:13:28;27;4;middle;{"vid1":28,"vid2":28,"vid3":28};478.798
5;2024-11-13;01:16:40;12;26;right;{"vid1":13,"vid2":13,"vid3":13};258.018
3;2024-11-13;01:13:21;24;8;right;{"vid1":25,"vid2":25,"vid3":25};478.958
4;2024-11-13;01:13:28;28;40;right;{"vid1":29,"vid2":29,"vid3":29};495.935
3;2024-11-13;01:13:21;25;41;left;{"vid1":26,"vid2":26,"vid3":26};495.673
5;2024-11-13;01:16:40;13;15;right;{"vid1":28,"vid2":28,"vid3":14};286.044
3;2024-11-13;01:13:21;26;27;middle;{"vid1":27,"vid2":27,"vid3":27};507.858
4;2024-11-13;01:13:28;29;35;right;{"vid1":30,"vid2":30,"vid3":30};510.903
4;2024-11-13;01:13:28;30;20;right;{"vid1":31,"vid2":31,"vid3":31};525.871
3;2024-11-13;01:13:21;27;18;left;{"vid1":28,"vid2":56,"vid3":28};530.258
4;2024-11-13;01:13:28;31;13;middle;{"vid1":32,"vid2":32,"vid3":32};538.239
5;2024-11-13;01:16:40;14;7;right;{"vid1":30,"vid2":15,"vid3":15};318.843
3;2024-11-13;01:13:21;28;17;right;{"vid1":29,"vid2":29,"vid3":29};544.075
4;2024-11-13;01:13:28;32;44;left;{"vid1":33,"vid2":33,"vid3":33};552.807
4;2024-11-13;01:13:28;33;39;middle;{"vid1":34,"vid2":34,"vid3":34};567.389
5;2024-11-13;01:16:40;15;11;middle;{"vid1":32,"vid2":32,"vid3":16};349.054
4;2024-11-13;01:13:28;34;1;middle;{"vid1":35,"vid2":35,"vid3":35};580.469
5;2024-11-13;01:16:40;16;4;middle;{"vid1":17,"vid2":17,"vid3":17};365.306
4;2024-11-13;01:13:28;35;31;left;{"vid1":36,"vid2":36,"vid3":36};595.007
5;2024-11-13;01:16:40;17;23;left;{"vid1":18,"vid2":18,"vid3":18};382.694
3;2024-11-13;01:13:21;29;15;right;{"vid1":30,"vid2":30,"vid3":30};611.408
4;2024-11-13;01:13:28;36;5;right;{"vid1":37,"vid2":37,"vid3":37};614.097
5;2024-11-13;01:16:40;18;39;left;{"vid1":19,"vid2":19,"vid3":19};401.038
4;2024-11-13;01:13:28;37;12;right;{"vid1":38,"vid2":38,"vid3":38};629.298
3;2024-11-13;01:13:21;30;31;left;{"vid1":62,"vid2":62,"vid3":31};633.609
5;2024-11-13;01:16:40;19;19;left;{"vid1":20,"vid2":20,"vid3":20};417.683
4;2024-11-13;01:13:28;38;25;middle;{"vid1":39,"vid2":39,"vid3":39};645.431
3;2024-11-13;01:13:21;31;29;right;{"vid1":32,"vid2":32,"vid3":32};648.243
5;2024-11-13;01:16:40;20;21;middle;{"vid1":21,"vid2":21,"vid3":21};432.101
4;2024-11-13;01:13:28;39;10;middle;{"vid1":40,"vid2":40,"vid3":40};660.11
3;2024-11-13;01:13:21;32;6;middle;{"vid1":33,"vid2":33,"vid3":33};662.092
5;2024-11-13;01:16:40;21;14;middle;{"vid1":22,"vid2":22,"vid3":22};452.507
3;2024-11-13;01:13:21;33;19;middle;{"vid1":34,"vid2":34,"vid3":34};675.242
4;2024-11-13;01:13:28;40;9;middle;{"vid1":82,"vid2":41,"vid3":41};682.195
3;2024-11-13;01:13:21;34;43;right;{"vid1":35,"vid2":35,"vid3":35};688.792
5;2024-11-13;01:16:40;22;6;left;{"vid1":23,"vid2":23,"vid3":23};471.131
4;2024-11-13;01:13:28;41;7;left;{"vid1":42,"vid2":42,"vid3":42};698.163
3;2024-11-13;01:13:21;35;37;right;{"vid1":36,"vid2":36,"vid3":36};702.093
5;2024-11-13;01:16:40;23;33;middle;{"vid1":24,"vid2":24,"vid3":24};486.571
4;2024-11-13;01:13:28;42;11;right;{"vid1":43,"vid2":43,"vid3":43};711.644
3;2024-11-13;01:13:21;36;35;left;{"vid1":37,"vid2":37,"vid3":37};715.393
5;2024-11-13;01:16:40;24;44;middle;{"vid1":25,"vid2":25,"vid3":25};503.444
4;2024-11-13;01:13:28;43;21;right;{"vid1":44,"vid2":44,"vid3":44};726.331
3;2024-11-13;01:13:21;37;25;right;{"vid1":38,"vid2":38,"vid3":38};732.11
4;2024-11-13;01:13:28;44;18;middle;{"vid1":45,"vid2":45,"vid3":45};744.565
5;2024-11-13;01:16:40;25;5;middle;{"vid1":52,"vid2":26,"vid3":26};527.304
3;2024-11-13;01:13:21;38;28;middle;{"vid1":39,"vid2":78,"vid3":39};751.009
3;2024-11-13;01:13:21;39;4;left;{"vid1":40,"vid2":40,"vid3":40};765.376
5;2024-11-13;01:16:40;26;9;left;{"vid1":54,"vid2":81,"vid3":54};560.557
3;2024-11-13;01:13:21;40;14;left;{"vid1":41,"vid2":41,"vid3":41};780.094
3;2024-11-13;01:13:21;41;1;middle;{"vid1":42,"vid2":42,"vid3":42};795.101
5;2024-11-13;01:16:40;27;27;right;{"vid1":28,"vid2":28,"vid3":28};577.361
6;2024-11-13;01:26:03;0;4;middle;{"vid1":2,"vid2":2,"vid3":1};43.729
3;2024-11-13;01:13:21;42;5;middle;{"vid1":43,"vid2":43,"vid3":43};810.984
5;2024-11-13;01:16:40;28;37;right;{"vid1":29,"vid2":29,"vid3":29};593.772
6;2024-11-13;01:26:03;1;38;left;{"vid1":2,"vid2":2,"vid3":2};62.894
3;2024-11-13;01:13:21;43;10;right;{"vid1":88,"vid2":44,"vid3":44};826.428
5;2024-11-13;01:16:40;29;24;right;{"vid1":30,"vid2":60,"vid3":30};614.412
6;2024-11-13;01:26:03;2;0;left;{"vid1":3,"vid2":3,"vid3":3};83.055
3;2024-11-13;01:13:21;44;9;middle;{"vid1":90,"vid2":45,"vid3":45};842.825
5;2024-11-13;01:16:40;30;29;middle;{"vid1":31,"vid2":31,"vid3":31};627.864
6;2024-11-13;01:26:03;3;20;right;{"vid1":4,"vid2":4,"vid3":4};100.159
6;2024-11-13;01:26:03;4;7;right;{"vid1":5,"vid2":5,"vid3":5};117.555
5;2024-11-13;01:16:40;31;30;left;{"vid1":128,"vid2":64,"vid3":32};664.25
6;2024-11-13;01:26:03;5;32;left;{"vid1":6,"vid2":6,"vid3":6};134.952
5;2024-11-13;01:16:40;32;2;right;{"vid1":66,"vid2":33,"vid3":33};686.341
6;2024-11-13;01:26:03;6;16;middle;{"vid1":7,"vid2":7,"vid3":7};152.076
6;2024-11-13;01:26:03;7;1;middle;{"vid1":8,"vid2":8,"vid3":8};167.447
5;2024-11-13;01:16:40;33;3;middle;{"vid1":68,"vid2":34,"vid3":34};707.816
6;2024-11-13;01:26:03;8;6;right;{"vid1":9,"vid2":9,"vid3":9};181.129
6;2024-11-13;01:26:03;9;12;right;{"vid1":10,"vid2":10,"vid3":10};199.112
5;2024-11-13;01:16:40;34;35;left;{"vid1":105,"vid2":70,"vid3":70};741.086
6;2024-11-13;01:26:03;10;21;middle;{"vid1":11,"vid2":11,"vid3":11};217.599
5;2024-11-13;01:16:40;35;16;right;{"vid1":36,"vid2":36,"vid3":36};758.039
6;2024-11-13;01:26:03;11;17;right;{"vid1":12,"vid2":12,"vid3":12};232.895
5;2024-11-13;01:16:40;36;38;right;{"vid1":37,"vid2":37,"vid3":37};775.097
8;2024-11-13;01:29:59;0;19;right;{"vid1":1,"vid2":1,"vid3":1};18.164
6;2024-11-13;01:26:03;12;30;middle;{"vid1":13,"vid2":13,"vid3":13};247.536
6;2024-11-13;01:26:03;13;13;middle;{"vid1":14,"vid2":14,"vid3":14};264.92
6;2024-11-13;01:26:03;14;2;middle;{"vid1":15,"vid2":15,"vid3":15};280.19
6;2024-11-13;01:26:03;15;40;left;{"vid1":16,"vid2":16,"vid3":16};300.067
6;2024-11-13;01:26:03;16;41;middle;{"vid1":34,"vid2":17,"vid3":17};320.268
6;2024-11-13;01:26:03;17;23;right;{"vid1":18,"vid2":18,"vid3":18};338.1
5;2024-11-13;01:16:40;37;31;left;{"vid1":76,"vid2":38,"vid3":38};882.739
6;2024-11-13;01:26:03;18;29;right;{"vid1":19,"vid2":19,"vid3":19};355.54
5;2024-11-13;01:16:40;38;28;left;{"vid1":78,"vid2":39,"vid3":39};903.941
6;2024-11-13;01:26:03;19;34;right;{"vid1":20,"vid2":20,"vid3":20};372.939
6;2024-11-13;01:26:03;20;22;left;{"vid1":21,"vid2":21,"vid3":21};389.09
5;2024-11-13;01:16:40;39;8;left;{"vid1":120,"vid2":80,"vid3":80};929.726
6;2024-11-13;01:26:03;21;14;right;{"vid1":22,"vid2":22,"vid3":22};403.294
5;2024-11-13;01:16:40;40;18;right;{"vid1":82,"vid2":82,"vid3":41};958.169
6;2024-11-13;01:26:03;22;42;left;{"vid1":46,"vid2":23,"vid3":23};423.678
