subjNum;subjStartDate;subjStartTime;trialIndex;exptId;label;labelIndex;rt;vidPlayCounts
2;2026-02-09;23:04:09;0;force_leave_1145_traj_5789;Leave;3;10.796;1
2;2026-02-09;23:04:09;1;force_accompany_5787_traj_4812;Bother;4;13.148;1
2;2026-02-09;23:04:09;2;force_capture_6035_traj_1051;Bother;4;12.84;1
2;2026-02-09;23:04:09;3;force_bother_6079_traj_5999;Fight;7;8.348;1
2;2026-02-09;23:04:09;4;force_scratch_6016_traj_1105;Accompany;1;10.121;1
2;2026-02-09;23:04:09;5;force_fight_5986_traj_2029;Hit;0;14.483;1
2;2026-02-09;23:04:09;6;force_hit_5902_traj_5098;Scratch;5;9.409;1
2;2026-02-09;23:04:09;7;force_encircle_6017_traj_6054;Encircle;2;7.405;1
2;2026-02-09;23:04:09;8;baseline_capture_6035_response_capture;Capture;6;7.023;1
2;2026-02-09;23:04:09;9;force_leave_1145_traj_5789;Leave;3;5.342;1
2;2026-02-09;23:04:09;10;force_accompany_5787_traj_4812;Bother;4;10.439;1
2;2026-02-09;23:04:09;11;force_capture_6035_traj_1051;Bother;4;14.796;2
2;2026-02-09;23:04:09;12;force_bother_6079_traj_5999;Fight;7;16.307;2
2;2026-02-09;23:04:09;13;filler_escape_5875_response_bother;Bother;4;6.131;1
2;2026-02-09;23:04:09;14;force_scratch_6016_traj_1105;Accompany;1;8.198;1
2;2026-02-09;23:04:09;15;force_fight_5986_traj_2029;Scratch;5;8.676;1
2;2026-02-09;23:04:09;16;force_hit_5902_traj_5098;Bother;4;23.866;2
2;2026-02-09;23:04:09;17;baseline_accompany_5787_response_accompany;Bother;4;11.725;1
2;2026-02-09;23:04:09;18;force_encircle_6017_traj_6054;Encircle;2;6.468;1
2;2026-02-09;23:04:09;19;force_leave_1145_traj_5789;Leave;3;5.096;1
2;2026-02-09;23:04:09;20;force_accompany_5787_traj_4812;Scratch;5;10.946;1
2;2026-02-09;23:04:09;21;force_capture_6035_traj_1051;Accompany;1;7.142;1
2;2026-02-09;23:04:09;22;force_bother_6079_traj_5999;Fight;7;7.849;1
