num	date	startTime	id	userAgent	endTime	duration	quizAttemptN	instrReadingTimes	quickReadingPageN	hiddenCount	hiddenDurations	comments	serious	maximized	problems	gender	age	inView	viewportW	viewportH
3	2026-02-09	23:05:14	66439abe4359251777b0aebd	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36	23:18:36	13.358333333333333	1	{"0":4.703,"1":11.635,"2":17.903,"3":26.304,"4":33.056,"5":41.962,"6":56.772,"7":62.482,"8":84.006,"9":88.217,"10":105.306,"11":108.936,"12":112.678,"13":123.745,"14":123.745}	0	0		N/A	1	1	No issues and everything was clear. 	F	25	true	1440	900
4	2026-02-09	23:07:18	62d43cee3d60ac98c1dcacc8	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36	23:24:00	16.70916666666667	1	{"0":3.278,"1":21.902,"2":25.63,"3":32.079,"4":34.975,"5":42.718,"6":53.215,"7":66.751,"8":72.382,"9":73.622,"10":102.991,"11":115.983,"12":118.262,"13":127.711,"14":127.711}	0	0		I do not have anything else that I would like to share with you about this experiment.	1	1	I did not find any part of the procedure to be unclear and I did not have any problems completing any of the tasks in this experiment.	M	28	true	1600	900
2	2026-02-09	23:04:09	5bf0b1ecaf38d100016bd609	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36	23:24:57	20.793766666666667	1	{"0":3.784,"1":8.928,"2":12.383,"3":35.335,"4":39.691,"5":46.403,"6":50.08,"7":55.334,"8":57.296,"9":58.478,"10":80.465,"11":84.359,"12":86.922,"13":99.034,"14":99.034}	0	0		None, thank you	1	1	No issues. Thank you.	M	40	true	1920	1080
5	2026-02-09	23:14:19	69810933654afd25a7bbcf7d	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36	23:26:54	12.592183333333333	1	{"0":2.364,"1":7.547,"2":11.181,"3":18.53,"4":28.781,"5":38.965,"6":42.713,"7":48.263,"8":106.914,"9":107.847,"10":123.831,"11":128.246,"12":130.331,"13":137.63,"14":137.63}	0	0		No	1	1	No	M	40	true	1440	900
7	2026-02-09	23:10:50	63b63938dbf229f3eb46d4a4	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36	23:33:24	22.575866666666666	1	{"0":599.836,"1":602.325,"2":606.346,"3":610.625,"4":613.906,"5":619.606,"6":622.382,"7":626.709,"8":628.559,"9":629.599,"10":641.635,"11":644.456,"12":646.118,"13":652.142,"14":652.142}	0	0		Best of luck to you in your research!	1	1	It was all very clear, and I had no problems completing the task. 	M	53	true	1920	1080
8	2026-02-09	23:23:38	612962f44f151ddfd0298c52	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0	23:39:15	15.604333333333333	1	{"0":3,"1":7.311,"2":11.824,"3":22.512,"4":28.847,"5":38.488,"6":42.696,"7":49.455,"8":51.303,"9":52.575,"10":71.561,"11":74.503,"12":75.838,"13":96.312,"14":96.312}	0	0		it was a very interesting study	1	1	nothing was unclear, no issues	M	65	true	1600	900
10	2026-02-09	23:27:31	5de30dd39a9da5342d09f2e8	Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36	23:40:09	12.625283333333334	1	{"0":5.866,"1":16.754,"2":22.568,"3":41.008,"4":56.82,"5":64.003,"6":68.433,"7":76.685,"8":79.692,"9":81.884,"10":98.667,"11":104.744,"12":108.165,"13":121.681,"14":121.681}	0	0		No.	1	1	No. Thanks.	F	51	true	1366	768
9	2026-02-09	23:24:46	57656f6c2bfddf000125cce5	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0	23:42:08	17.357083333333332	1	{"0":3.985,"1":7.537,"2":19.819,"3":23.945,"4":85.328,"5":90.265,"6":93.401,"7":98.129,"8":99.409,"9":100.337,"10":112.441,"11":116.36,"12":123.401,"13":130.09,"14":130.09}	0	0		I noticed certain parts repeated but I interpreted them differently, at times.	1	1	No part was unclear.	M	41	true	1536	864
12	2026-02-09	23:36:14	695fa7f4b57108dcb964ac69	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0	23:48:37	12.3733	1	{"0":3.932,"1":6.804,"2":11.152,"3":13.976,"4":19.798,"5":30.61,"6":32.942,"7":37.725,"8":39.08,"9":40.102,"10":60.623,"11":64.653,"12":65.973,"13":76.386,"14":76.386}	0	0		N/A	1	1	Everything was clear.	M	21	true	1536	864
11	2026-02-09	23:30:17	65fc55f0dd070026d29006a8	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15	23:49:20	19.038533333333334	1	{"0":2.469,"1":5.642,"2":11.821,"3":16.204,"4":21.309,"5":26.247,"6":53.397,"7":56.683,"8":79.374,"9":80.502,"10":102.412,"11":105.702,"12":108.444,"13":128.022,"14":128.022}	0	0		no	1	1	tell participants they have to answer this question to proceed. you can not skip this question.	N	40	true	1280	720
14	2026-02-09	23:55:56	66a3abea74c055f942b59cd7	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0	00:09:16	13.330333333333334	1	{"0":1.653,"1":4.035,"2":5.681,"3":10.901,"4":16.766,"5":24.789,"6":29.937,"7":35.348,"8":39.218,"9":40.775,"10":50.27,"11":55.002,"12":57.966,"13":66.452,"14":66.452}	0	0		none	1	1	no	F	50	true	1396	785
15	2026-02-10	00:03:52	6571e4f4cfa8086f608fabf3	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36	00:13:43	9.840066666666667	1	{"0":2.876,"1":5.991,"2":8.882,"3":12.672,"4":16.277,"5":20.35,"6":23.632,"7":28.184,"8":29.914,"9":30.902,"10":43.515,"11":45.804,"12":47.366,"13":54.374,"14":54.374}	0	0		It was fun picking the different word to best show what was happening.	1	1	No, it was clear and I had no problems.	F	24	true	1536	864
16	2026-02-10	00:07:47	6643415888ef07b2fb48e9be	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36	00:17:52	10.077616666666666	1	{"0":13.496,"1":16.846,"2":18.636,"3":22.693,"4":26.006,"5":32.606,"6":35.1,"7":39.099,"8":40.773,"9":42.087,"10":53.294,"11":55.856,"12":57.585,"13":65.372,"14":65.372}	0	0		NA	1	1	None	F	39	true	1463	823
13	2026-02-09	23:54:06	609551c1ade88f8463666fb8	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36	00:18:44	24.633633333333332	1	{"0":12.474,"1":36.756,"2":45.279,"3":55.821,"4":66.063,"5":85.382,"6":90.279,"7":97.434,"8":101.122,"9":102.89,"10":122.123,"11":127.504,"12":130.851,"13":145.161,"14":145.161}	0	0		N/A	1	1	Nope, all good.	M	25	true	1366	768
