subjNum,type,force,response_aligned
2,baseline,accompany,0.0
2,baseline,bother,0.0
2,baseline,capture,1.0
2,baseline,encircle,1.0
2,baseline,fight,0.0
2,baseline,hit,0.0
2,baseline,leave,1.0
2,baseline,scratch,0.0
2,generated,accompany,0.0
2,generated,bother,0.0
2,generated,capture,0.0
2,generated,encircle,1.0
2,generated,fight,0.0
2,generated,hit,0.625
2,generated,leave,1.0
2,generated,scratch,0.0
3,baseline,accompany,1.0
3,baseline,bother,0.0
3,baseline,capture,1.0
3,baseline,encircle,1.0
3,baseline,fight,1.0
3,baseline,hit,1.0
3,baseline,leave,1.0
3,baseline,scratch,0.0
3,generated,accompany,0.0
3,generated,bother,1.0
3,generated,capture,1.0
3,generated,encircle,1.0
3,generated,fight,1.0
3,generated,hit,0.375
3,generated,leave,0.875
3,generated,scratch,0.0
4,baseline,accompany,0.0
4,baseline,bother,0.0
4,baseline,capture,0.0
4,baseline,encircle,1.0
4,baseline,fight,1.0
4,baseline,hit,0.0
4,baseline,leave,1.0
4,baseline,scratch,0.0
4,generated,accompany,0.0
4,generated,bother,0.75
4,generated,capture,0.0
4,generated,encircle,0.875
4,generated,fight,0.125
4,generated,hit,0.125
4,generated,leave,1.0
4,generated,scratch,1.0
5,baseline,accompany,1.0
5,baseline,bother,0.0
5,baseline,capture,0.0
5,baseline,encircle,1.0
5,baseline,fight,0.0
5,baseline,hit,1.0
5,baseline,leave,1.0
5,baseline,scratch,0.0
5,generated,accompany,0.125
5,generated,bother,0.375
5,generated,capture,1.0
5,generated,encircle,1.0
5,generated,fight,0.125
5,generated,hit,0.125
5,generated,leave,0.875
5,generated,scratch,0.0
7,baseline,accompany,0.0
7,baseline,bother,0.0
7,baseline,capture,0.0
7,baseline,encircle,1.0
7,baseline,fight,0.0
7,baseline,hit,1.0
7,baseline,leave,1.0
7,baseline,scratch,0.0
7,generated,accompany,0.0
7,generated,bother,0.0
7,generated,capture,0.0
7,generated,encircle,1.0
7,generated,fight,0.75
7,generated,hit,1.0
7,generated,leave,0.875
7,generated,scratch,0.75
8,baseline,accompany,1.0
8,baseline,bother,0.0
8,baseline,capture,0.0
8,baseline,encircle,1.0
8,baseline,fight,0.0
8,baseline,hit,1.0
8,baseline,leave,1.0
8,baseline,scratch,0.0
8,generated,accompany,0.75
8,generated,bother,0.375
8,generated,capture,0.0
8,generated,encircle,1.0
8,generated,fight,0.25
8,generated,hit,0.0
8,generated,leave,0.0
