subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt;exptVer;options;choice
1;2024-10-08;23:16:07;0;29;right;"{""vid1"":1,""vid2"":1,""vid3"":1}";21.897;1;['5570_poke', '4806_flirt with', '5901_huddle with'];5901_huddle with
1;2024-10-08;23:16:07;1;34;right;"{""vid1"":2,""vid2"":2,""vid3"":2}";39.827;1;['1051_herd', '1121_scratch', '5528_hug'];5528_hug
1;2024-10-08;23:16:07;2;19;middle;"{""vid1"":3,""vid2"":3,""vid3"":3}";58.96;1;['6026_fight', '5528_hug', '4926_lead'];5528_hug
1;2024-10-08;23:16:07;3;39;middle;"{""vid1"":4,""vid2"":4,""vid3"":4}";82.882;1;['5570_poke', '5790_escape', '6026_fight'];5790_escape
1;2024-10-08;23:16:07;4;31;right;"{""vid1"":5,""vid2"":5,""vid3"":5}";106.792;1;['6026_fight', '1167_kiss', '5876_creep up on'];5876_creep up on
1;2024-10-08;23:16:07;5;1;right;"{""vid1"":6,""vid2"":6,""vid3"":6}";118.899;1;['5528_hug', '6058_leave', '5905_encircle'];5905_encircle
1;2024-10-08;23:16:07;6;30;left;"{""vid1"":14,""vid2"":7,""vid3"":7}";148.828;1;['6013_talk to', '5876_creep up on', '5096_approach'];6013_talk to
1;2024-10-08;23:16:07;7;0;middle;"{""vid1"":8,""vid2"":8,""vid3"":8}";168.707;1;['5570_poke', '6013_talk to', '5876_creep up on'];6013_talk to
1;2024-10-08;23:16:07;8;43;right;"{""vid1"":9,""vid2"":9,""vid3"":9}";192.722;1;['4806_flirt with', '5901_huddle with', '5866_follow'];5866_follow
1;2024-10-08;23:16:07;9;18;middle;"{""vid1"":10,""vid2"":10,""vid3"":10}";221.108;1;['4789_bother', '4806_flirt with', '6058_leave'];4806_flirt with
1;2024-10-08;23:16:07;10;26;left;"{""vid1"":22,""vid2"":11,""vid3"":11}";247.923;1;['5471_ignore', '1104_tickle', '1121_scratch'];5471_ignore
