num	date	startTime	id	userAgent	endTime	duration	quizAttemptN	instrReadingTimes	quickReadingPageN	hiddenCount	hiddenDurations	comments	serious	maximized	problems	gender	age	inView	viewportW	viewportH
1	2025-11-19	09:13:50	72861	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36	09:38:41	24.85345	1	{"0":1.511,"1":10.586,"2":13.942,"3":16.764,"4":19.883,"5":25.505,"6":29.424,"7":31.87,"8":32.694,"9":33.745,"10":34.331,"11":83.594,"12":86.486,"13":88.9,"14":90.297,"15":99.117,"16":99.117}	0	0		Nope	1	1	Nope it was clear.	M	21	true	1920	1080
2	2025-11-19	09:46:48	68691	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	10:03:34	16.75845	1	{"0":2.013,"1":5.694,"2":9.592,"3":12.927,"4":16.75,"5":22.639,"6":28.482,"7":31.078,"8":37.927,"9":40.416,"10":41.188,"11":58.597,"12":61.751,"13":65.151,"14":67.86,"15":74.042,"16":74.042}	0	0		No	1	1	No	M	20	true	1470	920
3	2025-11-19	16:08:27	72830	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	16:27:32	19.0842	1	{"0":3.641,"1":7.557,"2":12.791,"3":20.874,"4":28.041,"5":35.04,"6":40.124,"7":44.423,"8":46.24,"9":48.673,"10":49.823,"11":71.342,"12":74.457,"13":77.774,"14":79.99,"15":86.691,"16":86.691}	0	0		This was fun!	1	1	On some parts, one of the videos wouldn't be visible, but then it would after I played the other two first. 	N	19	true	1470	923
4	2025-11-19	16:11:10	68258	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	16:32:54	21.74651666666667	1	{"0":3.314,"1":6.73,"2":9.013,"3":15.915,"4":19.964,"5":26.998,"6":29.364,"7":33.397,"8":35.181,"9":36.681,"10":37.597,"11":67.466,"12":70.148,"13":73.997,"14":75.081,"15":81.265,"16":81.265}	0	3	0.625,1.642,247.829	<br />no	1	1	No	F	020	true	1440	900
5	2025-11-19	16:14:58	72163	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	16:34:27	19.48175	1	{"0":1.776,"1":2.599,"2":6.87,"3":16.107,"4":20.457,"5":27.039,"6":31.839,"7":34.982,"8":36.086,"9":38.302,"10":38.924,"11":56.992,"12":59.917,"13":62.907,"14":64.835,"15":72.722,"16":72.722}	0	0		This was honestly a pretty fun experiment, thank you for having me!	1	1	A few times I accidentally selected the option instead of wanting to play it back, I feel like the button could've been a different color because intuitively when I see a button there I think it's a replay button.	M	21	true	1707	1067
6	2025-11-19	16:31:59	68334	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	17:03:07	31.1297	1	{"0":4.41,"1":5.305,"2":6.313,"3":11.051,"4":16.509,"5":21.074,"6":22.664,"7":25.399,"8":26.289,"9":27.21,"10":28.866,"11":77.356,"12":79.276,"13":81.723,"14":83.758,"15":93.659,"16":93.659}	0	11	8.698,17.76,8.438,1.535,23.567,63.126,5.416,23.858,6.112,1.851,7.727	n/a	1	1	no	F	19	true	1152	720
9	2025-11-19	18:23:55	66679	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36	18:50:04	26.151966666666667	1	{"0":6.105,"1":9.414,"2":14.238,"3":19.303,"4":24.658,"5":30.443,"6":35.467,"7":40.237,"8":43.931,"9":47.236,"10":48.738,"11":83.061,"12":87.099,"13":109.828,"14":115.628,"15":141.419,"16":141.419}	0	0		No	1	1	I did not have any difficulty completing the tasks because any part of the procedure was unclear but the clips were a bit repetitive so I had trouble focusing my attention span towards the end.	F	20	true	1440	900
10	2025-11-19	18:31:15	69580	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36	18:51:22	20.108383333333332	1	{"0":3.563,"1":6.794,"2":11.511,"3":17.16,"4":21.509,"5":28.96,"6":34.275,"7":38.543,"8":39.677,"9":42.361,"10":43.01,"11":60.228,"12":64.044,"13":64.709,"14":66.16,"15":74.379,"16":74.379}	0	0		no	1	1	no	F	20	true	1440	900
8	2025-11-19	18:19:49	72200	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	18:56:22	36.54505	1	{"0":15.635,"1":42.497,"2":44.287,"3":48.484,"4":53.254,"5":54.564,"6":55.701,"7":56.352,"8":57.188,"9":57.776,"10":58.304,"11":94.221,"12":96.254,"13":98.285,"14":98.866,"15":106.197,"16":106.197}	0	0		No	1	1	No for both questions. 	F	19	true	1280	800
11	2025-11-19	18:43:24	72189	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	19:01:50	18.420733333333335	1	{"0":5.135,"1":8.401,"2":12.276,"3":16.751,"4":27.121,"5":33.58,"6":38.272,"7":41.513,"8":44.784,"9":47.504,"10":48.504,"11":67.114,"12":69.509,"13":72.759,"14":74.884,"15":82.389,"16":82.389}	0	0		No!	1	1	No!	F	19	true	1512	945
