ID,label
6144,fight
6145,examine
6146,argue with
6147,leave
6148,throw
6149,mimic
6150,push
6151,tickle
6153,play with
5123,hit
6169,bother
6170,pull
6171,flirt with
6173,hit
6174,tickle
6175,block
6176,scratch
6177,chase
6178,ignore
6179,accompany
6180,hit
6181,escape
6182,hit
6183,avoid
1032,creep up on
6214,leave
6215,hug
6216,throw
6217,examine
6221,avoid
6224,capture
6225,flirt with
5134,examine
6230,block
6231,argue with
6232,examine
6233,bother
6234,throw
6235,scratch
6236,avoid
2141,kiss
6238,escape
6240,bother
6241,tickle
6243,creep up on
6244,lead
6249,approach
1192,encircle
6073,capture
6261,tickle
6263,hug
6265,creep up on
6266,scratch
6267,bother
6268,capture
6271,creep up on
2176,follow
6274,fight
6275,talk to
6276,talk to
6278,escape
6280,escape
6283,hit
6284,chase
6285,escape
6286,argue with
6287,encircle
2192,ignore
6289,talk to
6293,approach
6296,examine
6297,escape
6298,chase
6301,block
6302,lead
6303,tickle
6304,chase
1052,avoid
2219,accompany
2220,block
5257,kiss
5121,play with
5153,avoid
5154,tickle
1059,encircle
2271,push
2272,huddle with
2273,block
2278,creep up on
2288,leave
1064,hit
2296,leave
1066,pull
5504,huddle with
2306,poke
5164,pull
4363,chase
1410,creep up on
854,bother
4379,chase
4382,leave
1413,mimic
4384,approach
4385,leave
1414,accompany
4390,throw
4988,scratch
2349,poke
4403,push
4405,capture
2358,encircle
4407,approach
2360,approach
1076,poke
2362,escape
2363,throw
2364,chase
1418,lead
5173,accompany
5103,approach
5517,lead
1422,examine
4458,kiss
1426,follow
1087,flirt with
4488,follow
1090,examine
4494,hit
1432,flirt with
1433,throw
900,mimic
5265,flirt with
4993,herd
5538,herd
5198,ignore
4721,flirt with
4573,accompany
1105,escape
4584,ignore
5087,ignore
2573,escape
4626,ignore
5287,follow
4633,hit
4634,pull
4635,argue with
1114,pull
5211,talk to
6237,herd
4656,push
4660,capture
1178,follow
4668,follow
4673,bother
4679,accompany
4690,hit
4701,pull
4706,follow
6760,capture
6761,mimic
6762,throw
6763,chase
4716,scratch
6765,accompany
6766,capture
6767,talk to
6768,lead
6769,huddle with
4722,avoid
4727,approach
6776,encircle
4732,avoid
4744,creep up on
844,leave
4748,bother
4757,examine
4760,chase
6815,tickle
5819,poke
4784,mimic
4785,lead
4786,mimic
4787,kiss
4790,play with
4791,fight
4792,talk to
4794,play with
4795,argue with
4796,scratch
4797,play with
4798,follow
4799,bother
4800,approach
4801,escape
4802,leave
4803,bother
4804,creep up on
